id,start,end,word
BvYR0L6f2Ig,1.360,1.920,Hello
BvYR0L6f2Ig,1.920,2.120,"there,"
BvYR0L6f2Ig,2.120,2.440,YouTube.
BvYR0L6f2Ig,2.620,2.740,Michael
BvYR0L6f2Ig,2.740,2.960,Powers.
BvYR0L6f2Ig,3.240,3.400,"Again,"
BvYR0L6f2Ig,3.640,3.740,I'm
BvYR0L6f2Ig,3.740,3.840,going
BvYR0L6f2Ig,3.840,3.940,to
BvYR0L6f2Ig,3.940,4.060,do
BvYR0L6f2Ig,4.060,4.420,my...
BvYR0L6f2Ig,4.420,4.500,I
BvYR0L6f2Ig,4.500,4.780,decided
BvYR0L6f2Ig,4.780,5.000,to
BvYR0L6f2Ig,5.000,5.200,just
BvYR0L6f2Ig,5.200,5.360,do
BvYR0L6f2Ig,5.360,5.480,the
BvYR0L6f2Ig,5.480,5.700,reviews
BvYR0L6f2Ig,5.700,5.900,in
BvYR0L6f2Ig,5.900,6.040,one
BvYR0L6f2Ig,6.040,6.320,"day,"
BvYR0L6f2Ig,6.320,6.520,since
BvYR0L6f2Ig,6.520,6.700,I've
BvYR0L6f2Ig,6.700,6.820,gotten
BvYR0L6f2Ig,6.820,7.000,out
BvYR0L6f2Ig,7.000,7.140,to
BvYR0L6f2Ig,7.140,7.280,do
BvYR0L6f2Ig,7.280,7.580,much.
BvYR0L6f2Ig,8.180,8.580,"So,"
BvYR0L6f2Ig,8.900,9.180,here
BvYR0L6f2Ig,9.180,9.300,we
BvYR0L6f2Ig,9.300,9.500,go.
BvYR0L6f2Ig,9.740,9.740,The
BvYR0L6f2Ig,9.740,9.920,long
BvYR0L6f2Ig,9.920,10.340,-awaited
BvYR0L6f2Ig,10.340,10.740,movie
BvYR0L6f2Ig,10.740,11.160,review
BvYR0L6f2Ig,11.160,11.700,of
BvYR0L6f2Ig,11.700,11.960,Final
BvYR0L6f2Ig,11.960,12.340,Destination
BvYR0L6f2Ig,12.340,13.220,3.
BvYR0L6f2Ig,14.410,14.710,So
BvYR0L6f2Ig,14.710,14.870,here
BvYR0L6f2Ig,14.870,14.990,we
BvYR0L6f2Ig,14.990,15.210,go.
BvYR0L6f2Ig,15.950,16.150,"Now,"
BvYR0L6f2Ig,16.190,16.390,this
BvYR0L6f2Ig,16.390,16.770,movie
BvYR0L6f2Ig,16.770,18.870,reunites
BvYR0L6f2Ig,18.870,19.550,the
BvYR0L6f2Ig,19.550,19.890,two
BvYR0L6f2Ig,19.890,20.110,direct
BvYR0L6f2Ig,20.110,20.490,creators
BvYR0L6f2Ig,20.490,20.630,of
BvYR0L6f2Ig,20.630,20.750,the
BvYR0L6f2Ig,20.750,20.950,first
BvYR0L6f2Ig,20.950,21.250,"movie,"
BvYR0L6f2Ig,21.550,21.630,Jim
BvYR0L6f2Ig,21.630,21.850,Wong
BvYR0L6f2Ig,21.850,22.110,and
BvYR0L6f2Ig,22.110,22.310,Glenn
BvYR0L6f2Ig,22.310,22.650,Morgan.
BvYR0L6f2Ig,23.170,23.330,Jim
BvYR0L6f2Ig,23.330,23.530,"Wong,"
BvYR0L6f2Ig,23.630,23.750,of
BvYR0L6f2Ig,23.750,23.810,"course,"
BvYR0L6f2Ig,24.010,24.150,directing
BvYR0L6f2Ig,24.150,24.450,the
BvYR0L6f2Ig,24.450,24.610,third
BvYR0L6f2Ig,24.610,24.770,one
BvYR0L6f2Ig,24.770,25.030,again.
BvYR0L6f2Ig,26.140,26.280,And
BvYR0L6f2Ig,26.280,26.360,I
BvYR0L6f2Ig,26.360,26.440,was
BvYR0L6f2Ig,26.440,26.600,very
BvYR0L6f2Ig,26.600,26.840,impressed
BvYR0L6f2Ig,26.840,27.020,with
BvYR0L6f2Ig,27.020,27.120,his
BvYR0L6f2Ig,27.120,27.340,work
BvYR0L6f2Ig,27.340,27.480,on
BvYR0L6f2Ig,27.480,27.600,the
BvYR0L6f2Ig,27.600,27.860,first
BvYR0L6f2Ig,27.860,28.120,one.
BvYR0L6f2Ig,28.220,28.340,I
BvYR0L6f2Ig,28.340,28.500,thought
BvYR0L6f2Ig,28.500,28.680,that
BvYR0L6f2Ig,28.680,28.800,the
BvYR0L6f2Ig,28.800,29.000,first
BvYR0L6f2Ig,29.000,29.260,one
BvYR0L6f2Ig,29.260,29.460,was
BvYR0L6f2Ig,29.460,29.880,creative
BvYR0L6f2Ig,29.880,30.060,and
BvYR0L6f2Ig,30.060,30.600,inventive
BvYR0L6f2Ig,30.600,31.180,and
BvYR0L6f2Ig,31.180,31.960,really
BvYR0L6f2Ig,31.960,32.280,brought
BvYR0L6f2Ig,32.280,32.580,something
BvYR0L6f2Ig,32.580,32.940,new
BvYR0L6f2Ig,32.940,33.520,to
BvYR0L6f2Ig,33.520,33.920,cinema.
BvYR0L6f2Ig,34.950,34.970,The
BvYR0L6f2Ig,34.970,35.230,second
BvYR0L6f2Ig,35.230,35.570,one
BvYR0L6f2Ig,35.570,36.150,was
BvYR0L6f2Ig,36.150,36.370,directed
BvYR0L6f2Ig,36.370,36.630,by
BvYR0L6f2Ig,36.630,36.850,David
BvYR0L6f2Ig,36.850,37.010,R.
BvYR0L6f2Ig,37.130,37.270,"Ellis,"
BvYR0L6f2Ig,38.090,38.390,who's
BvYR0L6f2Ig,38.390,38.590,also
BvYR0L6f2Ig,38.590,38.930,directing
BvYR0L6f2Ig,38.930,39.070,the
BvYR0L6f2Ig,39.070,39.250,fourth
BvYR0L6f2Ig,39.250,39.490,"one,"
BvYR0L6f2Ig,39.650,39.690,The
BvYR0L6f2Ig,39.690,39.890,Final
BvYR0L6f2Ig,39.890,40.150,"Destination,"
BvYR0L6f2Ig,40.470,40.650,coming
BvYR0L6f2Ig,40.650,40.910,out
BvYR0L6f2Ig,40.910,41.450,once
BvYR0L6f2Ig,41.450,41.730,again
BvYR0L6f2Ig,41.730,42.110,now.
BvYR0L6f2Ig,42.810,42.870,But
BvYR0L6f2Ig,42.870,43.630,the
BvYR0L6f2Ig,43.630,43.830,second
BvYR0L6f2Ig,43.830,44.150,"one,"
BvYR0L6f2Ig,44.290,44.490,it
BvYR0L6f2Ig,44.490,44.650,did
BvYR0L6f2Ig,44.650,44.830,in
BvYR0L6f2Ig,44.830,45.050,some
BvYR0L6f2Ig,45.050,45.210,ways
BvYR0L6f2Ig,45.210,45.450,take
BvYR0L6f2Ig,45.450,45.530,it
BvYR0L6f2Ig,45.530,45.650,to
BvYR0L6f2Ig,45.650,45.710,the
BvYR0L6f2Ig,45.710,45.870,next
BvYR0L6f2Ig,45.870,46.090,"level,"
BvYR0L6f2Ig,46.150,46.250,but
BvYR0L6f2Ig,46.250,46.350,in
BvYR0L6f2Ig,46.350,46.610,some
BvYR0L6f2Ig,46.610,46.850,ways
BvYR0L6f2Ig,46.850,47.010,the
BvYR0L6f2Ig,47.010,47.230,first
BvYR0L6f2Ig,47.230,47.410,one
BvYR0L6f2Ig,47.410,47.570,was
BvYR0L6f2Ig,47.570,47.890,better.
BvYR0L6f2Ig,48.550,48.790,So
BvYR0L6f2Ig,48.790,48.910,it
BvYR0L6f2Ig,48.910,49.070,was
BvYR0L6f2Ig,49.070,49.330,just
BvYR0L6f2Ig,49.330,49.530,about
BvYR0L6f2Ig,49.530,49.910,equal
BvYR0L6f2Ig,49.910,50.430,to
BvYR0L6f2Ig,50.430,50.530,the
BvYR0L6f2Ig,50.530,50.710,first
BvYR0L6f2Ig,50.710,50.950,one.
BvYR0L6f2Ig,51.290,51.430,So
BvYR0L6f2Ig,51.430,51.590,here
BvYR0L6f2Ig,51.590,51.690,we
BvYR0L6f2Ig,51.690,51.910,are
BvYR0L6f2Ig,51.910,52.270,with
BvYR0L6f2Ig,52.270,52.770,the
BvYR0L6f2Ig,52.770,53.030,creators
BvYR0L6f2Ig,53.030,53.170,of
BvYR0L6f2Ig,53.170,53.250,the
BvYR0L6f2Ig,53.250,53.430,first
BvYR0L6f2Ig,53.430,53.610,"one,"
BvYR0L6f2Ig,53.850,53.990,Final
BvYR0L6f2Ig,53.990,54.250,Destination
BvYR0L6f2Ig,54.250,54.730,3.
BvYR0L6f2Ig,55.310,55.550,So
BvYR0L6f2Ig,55.550,55.950,let's
BvYR0L6f2Ig,55.950,56.150,get
BvYR0L6f2Ig,56.150,56.350,into
BvYR0L6f2Ig,56.350,56.510,this
BvYR0L6f2Ig,56.510,56.790,review
BvYR0L6f2Ig,56.790,56.970,and
BvYR0L6f2Ig,56.970,57.130,I'll
BvYR0L6f2Ig,57.130,57.290,tell
BvYR0L6f2Ig,57.290,57.510,you
BvYR0L6f2Ig,57.510,57.790,why.
BvYR0L6f2Ig,58.070,58.470,"Well,"
BvYR0L6f2Ig,58.550,58.650,I'll
BvYR0L6f2Ig,58.650,58.770,tell
BvYR0L6f2Ig,58.770,58.870,you
BvYR0L6f2Ig,58.870,58.990,what
BvYR0L6f2Ig,58.990,59.050,I
BvYR0L6f2Ig,59.050,59.190,thought
BvYR0L6f2Ig,59.190,59.330,of
BvYR0L6f2Ig,59.330,59.470,it.
BvYR0L6f2Ig,60.130,60.490,So
BvYR0L6f2Ig,60.490,60.770,"anyway,"
BvYR0L6f2Ig,61.070,61.210,here
BvYR0L6f2Ig,61.210,61.330,we
BvYR0L6f2Ig,61.330,61.510,go.
BvYR0L6f2Ig,61.930,62.050,"Now,"
BvYR0L6f2Ig,62.110,62.130,the
BvYR0L6f2Ig,62.130,62.270,plot
BvYR0L6f2Ig,62.270,62.410,of
BvYR0L6f2Ig,62.410,62.430,the
BvYR0L6f2Ig,62.430,62.550,movie
BvYR0L6f2Ig,62.550,62.730,this
BvYR0L6f2Ig,62.730,62.950,"time,"
BvYR0L6f2Ig,63.030,63.230,it's
BvYR0L6f2Ig,63.230,63.610,basically
BvYR0L6f2Ig,63.610,64.050,exactly
BvYR0L6f2Ig,64.050,64.350,the
BvYR0L6f2Ig,64.350,64.550,same
BvYR0L6f2Ig,64.550,64.670,as
BvYR0L6f2Ig,64.670,64.790,the
BvYR0L6f2Ig,64.790,64.970,first
BvYR0L6f2Ig,64.970,65.150,two
BvYR0L6f2Ig,65.150,65.370,"movies,"
BvYR0L6f2Ig,65.410,65.530,but
BvYR0L6f2Ig,65.530,65.650,with
BvYR0L6f2Ig,65.650,65.890,different
BvYR0L6f2Ig,65.890,66.430,characters.
BvYR0L6f2Ig,67.170,67.250,So
BvYR0L6f2Ig,67.250,67.410,here
BvYR0L6f2Ig,67.410,67.550,we
BvYR0L6f2Ig,67.550,67.830,go.
BvYR0L6f2Ig,69.190,69.550,Mary
BvYR0L6f2Ig,69.550,69.790,Elizabeth
BvYR0L6f2Ig,69.790,70.350,Winstead
BvYR0L6f2Ig,70.350,70.930,portrays
BvYR0L6f2Ig,70.930,71.250,Wendy
BvYR0L6f2Ig,71.250,71.690,Christensen
BvYR0L6f2Ig,71.690,72.410,and
BvYR0L6f2Ig,72.410,73.210,Ryan
BvYR0L6f2Ig,73.210,73.550,Merriman
BvYR0L6f2Ig,73.550,74.010,portrays
BvYR0L6f2Ig,74.010,74.590,Kevin
BvYR0L6f2Ig,74.590,74.990,Blake.
BvYR0L6f2Ig,76.610,76.790,I
BvYR0L6f2Ig,76.790,76.890,think
BvYR0L6f2Ig,76.890,77.070,that's
BvYR0L6f2Ig,77.070,77.190,the
BvYR0L6f2Ig,77.190,77.370,second
BvYR0L6f2Ig,77.370,77.490,name.
BvYR0L6f2Ig,77.610,77.610,I
BvYR0L6f2Ig,77.610,77.730,don't
BvYR0L6f2Ig,77.730,77.810,know.
BvYR0L6f2Ig,77.930,78.010,"Anyway,"
BvYR0L6f2Ig,78.130,78.270,that's
BvYR0L6f2Ig,78.270,78.370,not
BvYR0L6f2Ig,78.370,78.470,the
BvYR0L6f2Ig,78.470,78.610,review.
BvYR0L6f2Ig,79.710,79.830,Wendy
BvYR0L6f2Ig,79.830,80.050,has
BvYR0L6f2Ig,80.050,80.230,a
BvYR0L6f2Ig,80.230,80.830,premonition
BvYR0L6f2Ig,80.830,81.070,that
BvYR0L6f2Ig,81.070,81.210,of
BvYR0L6f2Ig,81.210,81.570,course
BvYR0L6f2Ig,81.570,82.050,her
BvYR0L6f2Ig,82.050,82.170,and
BvYR0L6f2Ig,82.170,82.310,her
BvYR0L6f2Ig,82.310,82.530,friends
BvYR0L6f2Ig,82.530,82.710,run
BvYR0L6f2Ig,82.710,82.870,in
BvYR0L6f2Ig,82.870,82.930,the
BvYR0L6f2Ig,82.930,83.090,amusement
BvYR0L6f2Ig,83.090,83.530,park.
BvYR0L6f2Ig,83.970,84.090,And
BvYR0L6f2Ig,84.090,84.170,she
BvYR0L6f2Ig,84.170,84.250,has
BvYR0L6f2Ig,84.250,84.350,a
BvYR0L6f2Ig,84.350,84.710,premonition
BvYR0L6f2Ig,84.710,84.870,that
BvYR0L6f2Ig,84.870,84.990,a
BvYR0L6f2Ig,84.990,85.110,roller
BvYR0L6f2Ig,85.110,85.330,coaster
BvYR0L6f2Ig,85.330,85.510,is
BvYR0L6f2Ig,85.510,85.590,going
BvYR0L6f2Ig,85.590,85.690,to
BvYR0L6f2Ig,85.690,86.010,"crash,"
BvYR0L6f2Ig,86.610,86.850,which
BvYR0L6f2Ig,86.850,86.990,of
BvYR0L6f2Ig,86.990,87.250,course
BvYR0L6f2Ig,87.250,87.450,is
BvYR0L6f2Ig,87.450,87.830,exactly
BvYR0L6f2Ig,87.830,88.010,the
BvYR0L6f2Ig,88.010,88.170,same
BvYR0L6f2Ig,88.170,88.290,as
BvYR0L6f2Ig,88.290,88.410,the
BvYR0L6f2Ig,88.410,88.610,first
BvYR0L6f2Ig,88.610,88.890,two.
BvYR0L6f2Ig,89.010,89.210,It
BvYR0L6f2Ig,89.210,89.530,happens.
BvYR0L6f2Ig,91.470,91.870,It
BvYR0L6f2Ig,91.870,92.270,crashes.
BvYR0L6f2Ig,92.670,92.670,She
BvYR0L6f2Ig,92.670,93.090,and
BvYR0L6f2Ig,93.090,93.210,a
BvYR0L6f2Ig,93.210,93.390,few
BvYR0L6f2Ig,93.390,93.530,other
BvYR0L6f2Ig,93.530,93.670,people
BvYR0L6f2Ig,93.670,93.870,get
BvYR0L6f2Ig,93.870,93.990,off
BvYR0L6f2Ig,93.990,94.110,the
BvYR0L6f2Ig,94.110,94.370,ride.
BvYR0L6f2Ig,94.910,94.910,And
BvYR0L6f2Ig,94.910,95.010,then
BvYR0L6f2Ig,95.010,95.110,of
BvYR0L6f2Ig,95.110,95.270,course
BvYR0L6f2Ig,95.270,95.490,what
BvYR0L6f2Ig,95.490,95.830,happens
BvYR0L6f2Ig,95.830,96.050,is
BvYR0L6f2Ig,96.050,96.410,exactly
BvYR0L6f2Ig,96.410,96.650,the
BvYR0L6f2Ig,96.650,96.810,same
BvYR0L6f2Ig,96.810,96.950,as
BvYR0L6f2Ig,96.950,97.070,the
BvYR0L6f2Ig,97.070,97.290,first
BvYR0L6f2Ig,97.290,97.630,"two,"
BvYR0L6f2Ig,98.790,99.190,where
BvYR0L6f2Ig,99.190,99.590,the
BvYR0L6f2Ig,99.590,99.830,death
BvYR0L6f2Ig,99.830,100.110,starts
BvYR0L6f2Ig,100.110,100.370,picking
BvYR0L6f2Ig,100.370,100.590,off
BvYR0L6f2Ig,100.590,100.790,people
BvYR0L6f2Ig,100.790,101.090,one
BvYR0L6f2Ig,101.090,101.290,by
BvYR0L6f2Ig,101.290,101.870,one
BvYR0L6f2Ig,101.870,102.410,"and,"
BvYR0L6f2Ig,102.510,103.070,you
BvYR0L6f2Ig,103.070,103.150,"know,"
BvYR0L6f2Ig,103.190,103.370,before
BvYR0L6f2Ig,103.370,103.550,they
BvYR0L6f2Ig,103.550,103.750,reach
BvYR0L6f2Ig,103.750,103.990,their
BvYR0L6f2Ig,103.990,104.170,final
BvYR0L6f2Ig,104.170,104.590,destination.
BvYR0L6f2Ig,105.730,106.090,And
BvYR0L6f2Ig,106.090,106.190,they
BvYR0L6f2Ig,106.190,106.330,have
BvYR0L6f2Ig,106.330,106.450,to
BvYR0L6f2Ig,106.450,106.630,try
BvYR0L6f2Ig,106.630,106.710,and
BvYR0L6f2Ig,106.710,106.910,stay
BvYR0L6f2Ig,106.910,107.130,alive
BvYR0L6f2Ig,107.130,107.250,and
BvYR0L6f2Ig,107.250,107.450,avoid
BvYR0L6f2Ig,107.450,107.690,death
BvYR0L6f2Ig,107.690,107.870,as
BvYR0L6f2Ig,107.870,108.010,much
BvYR0L6f2Ig,108.010,108.170,as
BvYR0L6f2Ig,108.170,108.550,possible.
BvYR0L6f2Ig,109.510,109.630,So
BvYR0L6f2Ig,109.630,109.770,that's
BvYR0L6f2Ig,109.770,109.830,the
BvYR0L6f2Ig,109.830,110.010,basic
BvYR0L6f2Ig,110.010,110.250,plot
BvYR0L6f2Ig,110.250,110.490,of
BvYR0L6f2Ig,110.490,110.570,Final
BvYR0L6f2Ig,110.570,110.770,Destination
BvYR0L6f2Ig,110.770,111.210,3.
BvYR0L6f2Ig,114.100,114.500,"Now,"
BvYR0L6f2Ig,114.500,114.900,by
BvYR0L6f2Ig,114.900,115.060,the
BvYR0L6f2Ig,115.060,115.200,sound
BvYR0L6f2Ig,115.200,115.320,of
BvYR0L6f2Ig,115.320,115.460,the
BvYR0L6f2Ig,115.460,115.640,brush
BvYR0L6f2Ig,115.640,115.940,plot
BvYR0L6f2Ig,115.940,116.180,"there,"
BvYR0L6f2Ig,116.260,116.320,you
BvYR0L6f2Ig,116.320,116.460,may
BvYR0L6f2Ig,116.460,116.720,think
BvYR0L6f2Ig,116.720,116.900,I
BvYR0L6f2Ig,116.900,117.200,hated
BvYR0L6f2Ig,117.200,117.500,this
