id,start,end,word
8d-gEyoeBzc,4.110,4.610,Hi
8d-gEyoeBzc,4.610,4.930,"guys,"
8d-gEyoeBzc,5.050,5.710,I've
8d-gEyoeBzc,5.710,5.810,just
8d-gEyoeBzc,5.810,5.970,got
8d-gEyoeBzc,5.970,6.110,back
8d-gEyoeBzc,6.110,6.230,from
8d-gEyoeBzc,6.230,6.330,the
8d-gEyoeBzc,6.330,6.590,movie
8d-gEyoeBzc,6.590,6.990,predators
8d-gEyoeBzc,6.990,7.770,and
8d-gEyoeBzc,7.770,8.570,as
8d-gEyoeBzc,8.570,8.870,promised
8d-gEyoeBzc,8.870,9.150,I'm
8d-gEyoeBzc,9.150,9.210,gonna
8d-gEyoeBzc,9.210,9.450,do
8d-gEyoeBzc,9.450,9.550,a
8d-gEyoeBzc,9.550,9.830,review
8d-gEyoeBzc,9.830,9.950,of
8d-gEyoeBzc,9.950,10.070,a
8d-gEyoeBzc,10.070,10.530,review
8d-gEyoeBzc,10.530,10.710,on
8d-gEyoeBzc,10.710,10.830,it
8d-gEyoeBzc,10.830,11.110,now
8d-gEyoeBzc,12.010,12.490,I'm
8d-gEyoeBzc,12.490,12.570,gonna
8d-gEyoeBzc,12.570,12.710,give
8d-gEyoeBzc,12.710,12.870,the
8d-gEyoeBzc,12.870,13.130,reasons
8d-gEyoeBzc,13.130,13.430,why
8d-gEyoeBzc,13.430,13.650,I
8d-gEyoeBzc,13.650,13.850,like
8d-gEyoeBzc,13.850,14.110,it
8d-gEyoeBzc,14.110,14.570,But
8d-gEyoeBzc,14.570,14.670,I'm
8d-gEyoeBzc,14.670,14.830,also
8d-gEyoeBzc,14.830,15.010,gonna
8d-gEyoeBzc,15.010,15.230,give
8d-gEyoeBzc,15.230,15.350,the
8d-gEyoeBzc,15.350,15.650,reasons
8d-gEyoeBzc,15.650,15.890,of
8d-gEyoeBzc,15.890,16.170,why
8d-gEyoeBzc,16.170,16.390,I
8d-gEyoeBzc,16.390,16.690,don't
8d-gEyoeBzc,16.690,16.890,think
8d-gEyoeBzc,16.890,17.150,it's
8d-gEyoeBzc,17.150,17.290,gonna
8d-gEyoeBzc,17.290,17.530,be
8d-gEyoeBzc,17.530,17.670,a
8d-gEyoeBzc,17.670,18.010,classic
8d-gEyoeBzc,18.010,18.250,in
8d-gEyoeBzc,18.250,18.370,the
8d-gEyoeBzc,18.370,18.630,same
8d-gEyoeBzc,18.630,18.930,vein
8d-gEyoeBzc,18.930,19.130,as
8d-gEyoeBzc,19.130,19.270,the
8d-gEyoeBzc,19.270,19.530,first
8d-gEyoeBzc,19.530,19.950,movie
8d-gEyoeBzc,19.950,20.370,predator
8d-gEyoeBzc,20.370,21.530,or
8d-gEyoeBzc,21.530,22.050,aliens
8d-gEyoeBzc,24.410,24.890,Which
8d-gEyoeBzc,24.890,25.030,I
8d-gEyoeBzc,25.030,25.190,think
8d-gEyoeBzc,25.190,25.550,Rodriguez
8d-gEyoeBzc,25.550,25.910,was
8d-gEyoeBzc,25.910,26.190,going
8d-gEyoeBzc,26.190,26.490,for
8d-gEyoeBzc,26.490,26.690,he
8d-gEyoeBzc,26.690,26.870,that
8d-gEyoeBzc,26.870,27.290,he
8d-gEyoeBzc,27.290,27.650,always
8d-gEyoeBzc,27.650,27.910,said
8d-gEyoeBzc,27.910,28.070,when
8d-gEyoeBzc,28.070,28.150,he
8d-gEyoeBzc,28.150,28.290,was
8d-gEyoeBzc,28.290,28.430,gonna
8d-gEyoeBzc,28.430,28.690,do
8d-gEyoeBzc,28.690,28.870,this
8d-gEyoeBzc,28.870,29.270,sequel
8d-gEyoeBzc,29.270,29.550,that
8d-gEyoeBzc,29.550,30.550,he
8d-gEyoeBzc,30.550,30.750,wanted
8d-gEyoeBzc,30.750,31.050,this
8d-gEyoeBzc,31.050,31.250,to
8d-gEyoeBzc,31.250,31.490,be
8d-gEyoeBzc,33.290,33.770,the
8d-gEyoeBzc,34.450,34.930,Predator
8d-gEyoeBzc,34.930,35.410,equivalent
8d-gEyoeBzc,35.410,35.710,of
8d-gEyoeBzc,35.710,36.170,aliens
8d-gEyoeBzc,36.170,37.190,as
8d-gEyoeBzc,37.190,37.290,"that,"
8d-gEyoeBzc,37.410,37.430,you
8d-gEyoeBzc,37.430,37.570,"know,"
8d-gEyoeBzc,37.730,37.730,his
8d-gEyoeBzc,37.730,38.090,aliens
8d-gEyoeBzc,38.090,38.390,was
8d-gEyoeBzc,38.390,38.990,to
8d-gEyoeBzc,38.990,39.410,alien
8d-gEyoeBzc,41.390,41.870,And
8d-gEyoeBzc,42.000,42.480,I'm
8d-gEyoeBzc,42.480,42.540,gonna
8d-gEyoeBzc,42.540,42.800,really
8d-gEyoeBzc,42.800,43.020,point
8d-gEyoeBzc,43.020,43.200,out
8d-gEyoeBzc,43.200,43.400,why
8d-gEyoeBzc,43.400,43.520,I
8d-gEyoeBzc,43.520,43.700,don't
8d-gEyoeBzc,43.700,43.880,think
8d-gEyoeBzc,43.880,44.040,he
8d-gEyoeBzc,44.040,44.200,really
8d-gEyoeBzc,44.200,44.440,pulled
8d-gEyoeBzc,44.440,44.840,he
8d-gEyoeBzc,44.840,45.100,pulled
8d-gEyoeBzc,45.100,45.300,that
8d-gEyoeBzc,45.300,45.760,off
8d-gEyoeBzc,46.720,47.200,Or
8d-gEyoeBzc,47.200,47.400,why
8d-gEyoeBzc,47.400,47.480,it
8d-gEyoeBzc,47.480,47.600,was
8d-gEyoeBzc,47.600,47.700,a
8d-gEyoeBzc,47.700,48.000,mistake
8d-gEyoeBzc,48.000,48.480,really
8d-gEyoeBzc,48.480,49.140,to
8d-gEyoeBzc,49.140,49.380,try
8d-gEyoeBzc,49.380,49.500,and
8d-gEyoeBzc,49.500,49.700,do
8d-gEyoeBzc,49.700,50.060,that
8d-gEyoeBzc,50.860,51.340,But
8d-gEyoeBzc,51.340,51.420,I
8d-gEyoeBzc,51.420,51.540,did
8d-gEyoeBzc,51.540,51.880,enjoy
8d-gEyoeBzc,51.880,52.080,it.
8d-gEyoeBzc,52.080,52.380,So
8d-gEyoeBzc,52.380,53.060,I'm
8d-gEyoeBzc,53.060,53.160,gonna
8d-gEyoeBzc,53.160,53.360,point
8d-gEyoeBzc,53.360,53.480,out
8d-gEyoeBzc,53.480,53.560,the
8d-gEyoeBzc,53.560,53.760,stuff
8d-gEyoeBzc,53.760,53.920,I
8d-gEyoeBzc,53.920,54.060,did
8d-gEyoeBzc,54.060,54.360,like
8d-gEyoeBzc,54.940,55.420,There
8d-gEyoeBzc,55.420,55.500,was
8d-gEyoeBzc,55.500,55.700,some
8d-gEyoeBzc,55.700,55.880,good
8d-gEyoeBzc,55.880,56.140,action
8d-gEyoeBzc,56.140,56.460,scenes
8d-gEyoeBzc,56.460,56.660,in
8d-gEyoeBzc,56.660,57.080,it
8d-gEyoeBzc,57.080,58.000,The
8d-gEyoeBzc,58.000,58.400,characters
8d-gEyoeBzc,58.400,58.660,were
8d-gEyoeBzc,58.660,58.980,well
8d-gEyoeBzc,58.980,59.700,developed
8d-gEyoeBzc,59.700,60.580,Not
8d-gEyoeBzc,60.580,61.540,all
8d-gEyoeBzc,61.540,61.640,of
8d-gEyoeBzc,61.640,61.760,the
8d-gEyoeBzc,61.760,62.160,"characters,"
8d-gEyoeBzc,62.260,63.100,but
8d-gEyoeBzc,63.100,63.620,I
8d-gEyoeBzc,63.620,63.760,would
8d-gEyoeBzc,63.760,64.040,say
8d-gEyoeBzc,64.040,64.360,that
8d-gEyoeBzc,65.060,65.540,There
8d-gEyoeBzc,65.540,65.660,was
8d-gEyoeBzc,65.660,65.760,at
8d-gEyoeBzc,65.760,65.940,least
8d-gEyoeBzc,65.940,66.160,good.
8d-gEyoeBzc,66.300,66.560,There's
8d-gEyoeBzc,66.560,66.940,four
8d-gEyoeBzc,66.940,67.120,good
8d-gEyoeBzc,67.120,67.540,characters
8d-gEyoeBzc,67.540,67.760,in
8d-gEyoeBzc,67.760,68.040,there.
8d-gEyoeBzc,68.040,68.520,I
8d-gEyoeBzc,68.520,69.160,liked
8d-gEyoeBzc,69.160,70.080,Adrian
8d-gEyoeBzc,70.080,70.500,Brody's
8d-gEyoeBzc,70.500,70.760,character.
8d-gEyoeBzc,70.860,70.960,I
8d-gEyoeBzc,70.960,71.060,thought
8d-gEyoeBzc,71.060,71.280,he
8d-gEyoeBzc,71.280,71.540,was
8d-gEyoeBzc,72.570,73.050,Well
8d-gEyoeBzc,73.050,73.450,"developed,"
8d-gEyoeBzc,73.450,73.770,you
8d-gEyoeBzc,73.770,73.890,know
8d-gEyoeBzc,73.890,74.110,well
8d-gEyoeBzc,74.110,74.450,drawn
8d-gEyoeBzc,74.450,74.690,-out
8d-gEyoeBzc,74.690,75.190,character
8d-gEyoeBzc,75.190,75.570,someone
8d-gEyoeBzc,75.570,75.750,you
8d-gEyoeBzc,75.750,75.950,cared
8d-gEyoeBzc,75.950,76.190,about.
8d-gEyoeBzc,76.390,76.390,I
8d-gEyoeBzc,76.390,76.690,liked
8d-gEyoeBzc,76.690,77.510,the
8d-gEyoeBzc,77.510,77.790,girl
8d-gEyoeBzc,77.790,78.090,who
8d-gEyoeBzc,78.090,78.270,was
8d-gEyoeBzc,78.270,78.570,the
8d-gEyoeBzc,78.570,78.950,Israeli
8d-gEyoeBzc,78.950,79.390,sniper
8d-gEyoeBzc,79.390,80.330,I
8d-gEyoeBzc,80.330,80.470,thought
8d-gEyoeBzc,80.470,80.650,she
8d-gEyoeBzc,80.650,80.750,was
8d-gEyoeBzc,80.750,80.950,another
8d-gEyoeBzc,80.950,81.190,well
8d-gEyoeBzc,81.190,81.370,drawn
8d-gEyoeBzc,81.370,81.570,-out
8d-gEyoeBzc,81.570,82.050,character.
8d-gEyoeBzc,82.930,83.410,I
8d-gEyoeBzc,83.410,83.530,like
8d-gEyoeBzc,83.530,83.650,the
8d-gEyoeBzc,83.650,83.890,Russian
8d-gEyoeBzc,83.890,84.290,guy
8d-gEyoeBzc,84.830,85.310,"Yuri,"
8d-gEyoeBzc,85.450,85.510,I
8d-gEyoeBzc,85.510,85.670,think
8d-gEyoeBzc,85.670,85.830,his
8d-gEyoeBzc,85.830,86.010,name
8d-gEyoeBzc,86.010,86.950,was
8d-gEyoeBzc,86.950,87.770,you
8d-gEyoeBzc,87.770,87.990,care
8d-gEyoeBzc,87.990,88.110,that
8d-gEyoeBzc,88.110,88.490,there
8d-gEyoeBzc,88.490,88.630,was
8d-gEyoeBzc,88.630,88.870,enough
8d-gEyoeBzc,88.870,89.110,in
8d-gEyoeBzc,89.110,89.310,there
8d-gEyoeBzc,89.310,89.470,for
8d-gEyoeBzc,89.470,89.530,you
