id,start,end,word
k5Y_838nuGo,3.980,4.720,YouTube
k5Y_838nuGo,4.720,5.040,it's
k5Y_838nuGo,5.040,5.200,been
k5Y_838nuGo,5.200,5.500,too
k5Y_838nuGo,5.500,5.980,long.
k5Y_838nuGo,6.040,6.360,I'm
k5Y_838nuGo,6.360,6.520,not
k5Y_838nuGo,6.520,6.660,in
k5Y_838nuGo,6.660,6.760,the
k5Y_838nuGo,6.760,7.140,shot.
k5Y_838nuGo,7.160,7.380,Yeah
k5Y_838nuGo,7.380,7.580,my
k5Y_838nuGo,7.580,8.060,ASAM
k5Y_838nuGo,9.590,9.990,"Okay,"
k5Y_838nuGo,10.020,10.420,I
k5Y_838nuGo,10.420,10.560,have
k5Y_838nuGo,10.560,10.760,posted
k5Y_838nuGo,10.760,11.060,video
k5Y_838nuGo,11.060,11.600,because
k5Y_838nuGo,11.600,12.660,I've
k5Y_838nuGo,12.660,12.780,been
k5Y_838nuGo,12.780,12.980,busy
k5Y_838nuGo,12.980,13.140,with
k5Y_838nuGo,13.140,13.420,school
k5Y_838nuGo,14.000,14.400,I've
k5Y_838nuGo,14.400,14.540,got
k5Y_838nuGo,14.540,14.680,like
k5Y_838nuGo,14.680,14.960,four
k5Y_838nuGo,14.960,15.180,weeks
k5Y_838nuGo,15.180,15.540,left
k5Y_838nuGo,15.540,16.420,and
k5Y_838nuGo,16.420,16.600,it's
k5Y_838nuGo,16.600,16.720,been
k5Y_838nuGo,16.720,17.040,crazy
k5Y_838nuGo,17.040,17.400,trying
k5Y_838nuGo,17.400,17.500,to
k5Y_838nuGo,17.500,17.580,get
k5Y_838nuGo,17.580,17.840,final
k5Y_838nuGo,17.840,18.280,projects
k5Y_838nuGo,18.280,18.680,done
k5Y_838nuGo,18.680,18.980,and
k5Y_838nuGo,18.980,19.680,situated
k5Y_838nuGo,20.420,20.820,But
k5Y_838nuGo,20.820,21.220,in
k5Y_838nuGo,21.220,21.640,"midterms,"
k5Y_838nuGo,21.640,22.300,so
k5Y_838nuGo,22.760,23.160,"Anyway,"
k5Y_838nuGo,23.160,23.540,I'm
k5Y_838nuGo,23.540,23.720,back
k5Y_838nuGo,23.720,23.940,to
k5Y_838nuGo,23.940,24.100,do
k5Y_838nuGo,24.100,24.400,review
k5Y_838nuGo,24.400,24.640,for
k5Y_838nuGo,24.640,24.780,you
k5Y_838nuGo,24.780,25.020,guys
k5Y_838nuGo,25.020,25.180,I
k5Y_838nuGo,25.180,25.260,have
k5Y_838nuGo,25.260,25.440,not
k5Y_838nuGo,25.440,25.640,seen
k5Y_838nuGo,25.640,25.800,draw
k5Y_838nuGo,25.800,25.880,up
k5Y_838nuGo,25.880,25.980,in
k5Y_838nuGo,25.980,26.100,hood
k5Y_838nuGo,26.100,26.300,yet
k5Y_838nuGo,26.300,26.480,So
k5Y_838nuGo,26.480,26.600,it's
k5Y_838nuGo,26.600,26.740,not
k5Y_838nuGo,26.740,26.800,a
k5Y_838nuGo,26.800,27.000,review
k5Y_838nuGo,27.000,27.140,on
k5Y_838nuGo,27.140,27.340,that
k5Y_838nuGo,27.340,28.020,and
k5Y_838nuGo,28.020,28.380,I
k5Y_838nuGo,28.380,28.520,was
k5Y_838nuGo,28.520,28.660,gonna
k5Y_838nuGo,28.660,28.860,see
k5Y_838nuGo,28.860,28.980,my
k5Y_838nuGo,28.980,29.220,Gruber
k5Y_838nuGo,29.220,29.440,this
k5Y_838nuGo,29.440,29.760,weekend
k5Y_838nuGo,29.760,29.980,and
k5Y_838nuGo,29.980,30.120,I
k5Y_838nuGo,30.120,30.360,still
k5Y_838nuGo,30.360,30.640,might
k5Y_838nuGo,30.640,30.940,so
k5Y_838nuGo,30.940,31.120,there
k5Y_838nuGo,31.120,31.300,might
k5Y_838nuGo,31.300,31.480,be
k5Y_838nuGo,31.480,31.500,a
k5Y_838nuGo,31.500,31.700,review
k5Y_838nuGo,31.700,31.900,sometime
k5Y_838nuGo,31.900,32.340,later
k5Y_838nuGo,32.340,32.700,for
k5Y_838nuGo,32.700,32.840,my
k5Y_838nuGo,32.840,33.060,Gruber
k5Y_838nuGo,33.060,33.520,review
k5Y_838nuGo,34.240,34.420,But
k5Y_838nuGo,34.420,34.760,I'm
k5Y_838nuGo,34.760,34.900,here
k5Y_838nuGo,34.900,35.120,to
k5Y_838nuGo,35.120,35.600,review
k5Y_838nuGo,35.600,36.340,Shrek
k5Y_838nuGo,36.340,36.720,forever
k5Y_838nuGo,36.720,37.280,after
k5Y_838nuGo,37.860,38.420,Which
k5Y_838nuGo,38.420,38.600,I
k5Y_838nuGo,38.600,38.700,was
k5Y_838nuGo,38.700,38.840,not
k5Y_838nuGo,38.840,39.120,excited
k5Y_838nuGo,39.120,39.300,to
k5Y_838nuGo,39.300,39.540,see
k5Y_838nuGo,39.540,40.400,and
k5Y_838nuGo,40.400,40.740,it
k5Y_838nuGo,40.740,41.020,actually
k5Y_838nuGo,41.020,41.360,surprised
k5Y_838nuGo,41.360,41.640,me
k5Y_838nuGo,43.980,44.540,To
k5Y_838nuGo,44.540,44.900,summarize
k5Y_838nuGo,44.900,45.260,it
k5Y_838nuGo,45.260,45.660,Shrek
k5Y_838nuGo,45.660,45.920,forever
k5Y_838nuGo,45.920,46.180,after
k5Y_838nuGo,46.180,46.340,is
k5Y_838nuGo,46.340,46.480,about
k5Y_838nuGo,46.480,46.980,Shrek
k5Y_838nuGo,47.600,48.160,He's
k5Y_838nuGo,48.160,48.500,in
k5Y_838nuGo,48.500,48.860,life.
k5Y_838nuGo,49.000,49.120,He
k5Y_838nuGo,49.120,49.440,basically
k5Y_838nuGo,49.440,49.780,his
k5Y_838nuGo,49.780,50.020,life
k5Y_838nuGo,50.020,50.220,is
k5Y_838nuGo,50.220,50.660,repetitive.
k5Y_838nuGo,50.800,50.960,It's
k5Y_838nuGo,50.960,51.100,the
k5Y_838nuGo,51.100,51.260,same
k5Y_838nuGo,51.260,51.480,thing
k5Y_838nuGo,51.480,51.700,every
k5Y_838nuGo,51.700,52.060,day
k5Y_838nuGo,52.060,52.820,And
k5Y_838nuGo,52.820,52.960,then
k5Y_838nuGo,52.960,53.140,he
k5Y_838nuGo,53.140,53.600,realizes
k5Y_838nuGo,53.600,53.940,he
