id,start,end,word
jUzDDGyPkXU,3.310,3.710,All
jUzDDGyPkXU,3.710,3.890,"right,"
jUzDDGyPkXU,4.030,4.230,what's
jUzDDGyPkXU,4.230,4.410,going
jUzDDGyPkXU,4.410,4.710,on?
jUzDDGyPkXU,5.010,5.290,So
jUzDDGyPkXU,5.290,5.650,here
jUzDDGyPkXU,5.650,5.730,we
jUzDDGyPkXU,5.730,5.910,go
jUzDDGyPkXU,5.910,6.090,with
jUzDDGyPkXU,6.090,6.270,the
jUzDDGyPkXU,6.270,6.550,review
jUzDDGyPkXU,6.550,6.790,for
jUzDDGyPkXU,6.790,7.010,battle
jUzDDGyPkXU,7.010,7.250,for
jUzDDGyPkXU,7.250,7.430,Los
jUzDDGyPkXU,7.430,7.910,"Angeles,"
jUzDDGyPkXU,7.990,8.750,and
jUzDDGyPkXU,8.750,9.170,let's
jUzDDGyPkXU,9.170,9.270,just
jUzDDGyPkXU,9.270,9.430,get
jUzDDGyPkXU,9.430,9.610,right
jUzDDGyPkXU,9.610,9.850,into
jUzDDGyPkXU,9.850,9.970,it
jUzDDGyPkXU,9.970,10.270,So
jUzDDGyPkXU,10.270,11.210,I
jUzDDGyPkXU,11.210,11.350,mean
jUzDDGyPkXU,11.350,11.490,the
jUzDDGyPkXU,11.490,11.710,title
jUzDDGyPkXU,11.710,11.930,says
jUzDDGyPkXU,11.930,12.070,it
jUzDDGyPkXU,12.070,12.210,all
jUzDDGyPkXU,12.210,12.350,for
jUzDDGyPkXU,12.350,12.490,this
jUzDDGyPkXU,12.490,12.750,movie
jUzDDGyPkXU,12.750,13.070,battle
jUzDDGyPkXU,13.070,13.290,for
jUzDDGyPkXU,13.290,13.450,Los
jUzDDGyPkXU,13.450,13.790,Angeles
jUzDDGyPkXU,13.790,14.250,aliens
jUzDDGyPkXU,14.250,14.670,invade
jUzDDGyPkXU,14.670,15.050,They
jUzDDGyPkXU,15.050,15.490,attack
jUzDDGyPkXU,15.490,15.890,all
jUzDDGyPkXU,15.890,16.030,the
jUzDDGyPkXU,16.030,16.370,world
jUzDDGyPkXU,16.370,17.130,and
jUzDDGyPkXU,17.130,17.430,they're
jUzDDGyPkXU,17.430,17.730,"coming,"
jUzDDGyPkXU,17.730,17.970,but
jUzDDGyPkXU,17.970,18.130,you
jUzDDGyPkXU,18.130,18.350,don't
jUzDDGyPkXU,18.350,18.490,know
jUzDDGyPkXU,18.490,18.830,why
jUzDDGyPkXU,18.830,19.250,and
jUzDDGyPkXU,19.250,19.470,they're
jUzDDGyPkXU,19.470,19.790,just
jUzDDGyPkXU,19.790,20.610,Attacking
jUzDDGyPkXU,20.610,20.930,from
jUzDDGyPkXU,20.930,21.530,every
jUzDDGyPkXU,21.530,21.950,point
jUzDDGyPkXU,21.950,22.690,on
jUzDDGyPkXU,22.690,22.850,the
jUzDDGyPkXU,22.850,23.090,"earth,"
jUzDDGyPkXU,23.090,23.310,and
jUzDDGyPkXU,23.310,23.490,it's
jUzDDGyPkXU,23.490,23.650,just
jUzDDGyPkXU,23.650,23.830,a
jUzDDGyPkXU,23.830,24.390,worldwide
jUzDDGyPkXU,24.390,24.790,"invasion,"
jUzDDGyPkXU,24.790,25.150,and
jUzDDGyPkXU,25.150,25.350,they're
jUzDDGyPkXU,25.350,25.610,about
jUzDDGyPkXU,25.610,25.750,to
jUzDDGyPkXU,25.750,25.930,take
jUzDDGyPkXU,25.930,26.190,over
jUzDDGyPkXU,26.190,26.430,Los
jUzDDGyPkXU,26.430,26.910,Angeles
jUzDDGyPkXU,26.910,27.870,So
jUzDDGyPkXU,27.870,28.350,and
jUzDDGyPkXU,28.350,28.670,there's
jUzDDGyPkXU,28.670,28.770,a
jUzDDGyPkXU,28.770,29.010,plot
jUzDDGyPkXU,29.010,29.410,with
jUzDDGyPkXU,29.410,30.290,there's
jUzDDGyPkXU,30.290,30.490,Aaron
jUzDDGyPkXU,30.490,30.870,Eckhart
jUzDDGyPkXU,30.870,31.130,and
jUzDDGyPkXU,31.130,31.390,his
jUzDDGyPkXU,31.390,31.750,crew
jUzDDGyPkXU,31.750,32.010,who
jUzDDGyPkXU,32.010,32.130,are
jUzDDGyPkXU,32.130,32.290,in
jUzDDGyPkXU,32.290,32.730,LA
jUzDDGyPkXU,32.730,33.470,trying
jUzDDGyPkXU,33.470,34.010,to
jUzDDGyPkXU,34.010,34.610,stop
jUzDDGyPkXU,34.610,34.850,the
jUzDDGyPkXU,34.850,35.270,aliens
jUzDDGyPkXU,35.790,36.290,"Alright,"
jUzDDGyPkXU,36.530,37.070,so
jUzDDGyPkXU,37.070,37.590,what's
jUzDDGyPkXU,37.590,37.710,good
jUzDDGyPkXU,37.710,37.910,about
jUzDDGyPkXU,37.910,38.110,this
jUzDDGyPkXU,38.110,38.410,movie?
jUzDDGyPkXU,38.410,38.690,The
jUzDDGyPkXU,38.690,38.990,action
jUzDDGyPkXU,38.990,39.310,is
jUzDDGyPkXU,39.310,39.510,fucking
jUzDDGyPkXU,39.510,39.930,awesome
jUzDDGyPkXU,39.930,40.450,action
jUzDDGyPkXU,40.450,40.630,is
jUzDDGyPkXU,40.630,41.030,really
jUzDDGyPkXU,41.030,41.250,really
jUzDDGyPkXU,41.250,41.510,well
jUzDDGyPkXU,41.510,41.850,directed
jUzDDGyPkXU,41.850,42.390,It's
jUzDDGyPkXU,42.390,43.110,very
jUzDDGyPkXU,43.110,43.590,reminiscent
jUzDDGyPkXU,43.590,44.170,of
jUzDDGyPkXU,44.170,44.550,district
jUzDDGyPkXU,44.550,44.770,9
jUzDDGyPkXU,44.770,44.990,It's
jUzDDGyPkXU,44.990,45.150,like
jUzDDGyPkXU,45.150,45.490,someone
jUzDDGyPkXU,45.490,45.830,watched
jUzDDGyPkXU,45.830,46.430,the
jUzDDGyPkXU,46.430,46.690,third
jUzDDGyPkXU,46.690,46.950,act
jUzDDGyPkXU,46.950,47.130,of
jUzDDGyPkXU,47.130,47.410,district
