id,start,end,word
Ci-AH39fi3Y,0.080,0.240,just
Ci-AH39fi3Y,0.240,0.400,got
Ci-AH39fi3Y,0.400,0.560,back
Ci-AH39fi3Y,0.560,0.700,from
Ci-AH39fi3Y,0.700,0.820,the
Ci-AH39fi3Y,0.820,1.080,midnight
Ci-AH39fi3Y,1.080,1.420,showing
Ci-AH39fi3Y,1.420,1.680,of
Ci-AH39fi3Y,1.680,1.760,Saw
Ci-AH39fi3Y,1.760,2.120,5
Ci-AH39fi3Y,2.120,2.560,and
Ci-AH39fi3Y,2.560,2.920,I
Ci-AH39fi3Y,2.920,3.100,have
Ci-AH39fi3Y,3.100,3.240,to
Ci-AH39fi3Y,3.240,3.420,review
Ci-AH39fi3Y,3.420,3.560,it
Ci-AH39fi3Y,3.560,3.720,before
Ci-AH39fi3Y,3.720,3.840,I
Ci-AH39fi3Y,3.840,3.940,go
Ci-AH39fi3Y,3.940,4.060,to
Ci-AH39fi3Y,4.060,4.260,sleep
Ci-AH39fi3Y,4.260,4.500,because
Ci-AH39fi3Y,4.500,4.680,I'm
Ci-AH39fi3Y,4.680,4.820,still
Ci-AH39fi3Y,4.820,5.160,excited
Ci-AH39fi3Y,5.160,5.460,about
Ci-AH39fi3Y,5.460,5.640,"it,"
Ci-AH39fi3Y,5.840,5.980,but
Ci-AH39fi3Y,5.980,6.080,I
Ci-AH39fi3Y,6.080,6.160,just
Ci-AH39fi3Y,6.160,6.280,want
Ci-AH39fi3Y,6.280,6.300,to
Ci-AH39fi3Y,6.300,6.400,let
Ci-AH39fi3Y,6.400,6.500,you
Ci-AH39fi3Y,6.500,6.620,guys
Ci-AH39fi3Y,6.620,6.880,know
Ci-AH39fi3Y,6.880,7.060,that
Ci-AH39fi3Y,7.060,7.200,the
Ci-AH39fi3Y,7.200,7.360,first
Ci-AH39fi3Y,7.360,7.580,half
Ci-AH39fi3Y,7.580,7.660,of
Ci-AH39fi3Y,7.660,7.780,this
Ci-AH39fi3Y,7.780,8.020,review
Ci-AH39fi3Y,8.020,8.160,is
Ci-AH39fi3Y,8.160,8.240,going
Ci-AH39fi3Y,8.240,8.320,to
Ci-AH39fi3Y,8.320,8.420,have
Ci-AH39fi3Y,8.420,8.640,no
Ci-AH39fi3Y,8.640,8.960,spoilers
Ci-AH39fi3Y,8.960,9.200,at
Ci-AH39fi3Y,9.200,9.340,all
Ci-AH39fi3Y,9.340,9.500,so
Ci-AH39fi3Y,9.500,9.580,you
Ci-AH39fi3Y,9.580,9.720,don't
Ci-AH39fi3Y,9.720,9.860,have
Ci-AH39fi3Y,9.860,9.980,to
Ci-AH39fi3Y,9.980,10.140,worry
Ci-AH39fi3Y,10.140,10.500,about
Ci-AH39fi3Y,10.500,10.920,it
Ci-AH39fi3Y,10.920,11.120,being
Ci-AH39fi3Y,11.120,11.380,ruined
Ci-AH39fi3Y,11.380,11.620,for
Ci-AH39fi3Y,11.620,11.840,"you,"
Ci-AH39fi3Y,12.060,12.240,and
Ci-AH39fi3Y,12.240,12.360,the
Ci-AH39fi3Y,12.360,12.540,second
Ci-AH39fi3Y,12.540,12.780,half
Ci-AH39fi3Y,12.780,12.880,of
Ci-AH39fi3Y,12.880,13.020,this
Ci-AH39fi3Y,13.020,13.280,video
Ci-AH39fi3Y,13.280,13.580,is
Ci-AH39fi3Y,13.580,13.740,going
Ci-AH39fi3Y,13.740,13.880,to
Ci-AH39fi3Y,13.880,14.000,have
Ci-AH39fi3Y,14.000,14.380,"spoilers,"
Ci-AH39fi3Y,14.580,14.700,but
Ci-AH39fi3Y,14.700,14.900,I
Ci-AH39fi3Y,14.900,15.080,will
Ci-AH39fi3Y,15.080,15.340,warn
Ci-AH39fi3Y,15.340,15.520,you
Ci-AH39fi3Y,15.520,15.880,beforehand
Ci-AH39fi3Y,15.880,16.240,so
Ci-AH39fi3Y,16.240,16.360,you
Ci-AH39fi3Y,16.360,16.520,can
Ci-AH39fi3Y,16.520,16.720,close
Ci-AH39fi3Y,16.720,16.920,out
Ci-AH39fi3Y,16.920,17.020,of
Ci-AH39fi3Y,17.020,17.100,the
Ci-AH39fi3Y,17.100,17.380,"video,"
Ci-AH39fi3Y,17.720,17.960,and
Ci-AH39fi3Y,17.960,18.120,then
Ci-AH39fi3Y,18.120,18.400,after
Ci-AH39fi3Y,18.400,18.560,you
Ci-AH39fi3Y,18.560,18.720,see
Ci-AH39fi3Y,18.720,18.920,Saw
Ci-AH39fi3Y,18.920,19.120,5
Ci-AH39fi3Y,19.120,19.240,you
Ci-AH39fi3Y,19.240,19.360,can
Ci-AH39fi3Y,19.360,19.480,come
