id,start,end,word
Sqr0AcuoNnk,0.340,0.560,"guys,"
Sqr0AcuoNnk,0.660,0.780,I
Sqr0AcuoNnk,0.780,0.900,just
Sqr0AcuoNnk,0.900,1.120,saw
Sqr0AcuoNnk,1.120,1.220,the
Sqr0AcuoNnk,1.220,1.420,movie
Sqr0AcuoNnk,1.420,1.680,Friends
Sqr0AcuoNnk,1.680,1.860,with
Sqr0AcuoNnk,1.860,2.220,Benefits
Sqr0AcuoNnk,2.220,2.660,and
Sqr0AcuoNnk,2.660,2.920,I'm
Sqr0AcuoNnk,2.920,3.060,going
Sqr0AcuoNnk,3.060,3.300,to
Sqr0AcuoNnk,3.300,3.580,review
Sqr0AcuoNnk,3.580,3.740,it
Sqr0AcuoNnk,3.740,3.920,for
Sqr0AcuoNnk,3.920,4.160,you.
Sqr0AcuoNnk,4.420,4.540,I
Sqr0AcuoNnk,4.540,4.640,took
Sqr0AcuoNnk,4.640,4.840,some
Sqr0AcuoNnk,4.840,5.080,notes
Sqr0AcuoNnk,5.080,5.500,so
Sqr0AcuoNnk,5.500,5.660,I'm
Sqr0AcuoNnk,5.660,5.720,going
Sqr0AcuoNnk,5.720,5.840,to
Sqr0AcuoNnk,5.840,6.040,read
Sqr0AcuoNnk,6.040,6.260,what
Sqr0AcuoNnk,6.260,6.380,I
Sqr0AcuoNnk,6.380,6.520,wrote
Sqr0AcuoNnk,6.520,6.840,down.
Sqr0AcuoNnk,7.400,7.500,I
Sqr0AcuoNnk,7.500,7.620,guess
Sqr0AcuoNnk,7.620,7.940,before
Sqr0AcuoNnk,7.940,8.100,I
Sqr0AcuoNnk,8.100,8.180,get
Sqr0AcuoNnk,8.180,8.480,into
Sqr0AcuoNnk,8.480,9.160,"specifics,"
Sqr0AcuoNnk,9.820,9.820,"um,"
Sqr0AcuoNnk,10.060,10.240,I'll
Sqr0AcuoNnk,10.240,10.460,just
Sqr0AcuoNnk,10.460,10.720,say
Sqr0AcuoNnk,10.720,10.940,like
Sqr0AcuoNnk,10.940,11.280,the
Sqr0AcuoNnk,11.280,12.180,"basic,"
Sqr0AcuoNnk,12.180,12.980,"um,"
Sqr0AcuoNnk,13.780,13.860,overall
Sqr0AcuoNnk,13.860,14.340,thoughts
Sqr0AcuoNnk,14.340,14.600,on
Sqr0AcuoNnk,14.600,14.700,the
Sqr0AcuoNnk,14.700,14.920,movie.
Sqr0AcuoNnk,15.440,15.740,I
Sqr0AcuoNnk,15.740,16.040,don't
Sqr0AcuoNnk,16.040,16.280,really
Sqr0AcuoNnk,16.280,16.720,know.
Sqr0AcuoNnk,17.020,17.100,I
Sqr0AcuoNnk,17.100,17.260,don't
Sqr0AcuoNnk,17.260,17.680,-
Sqr0AcuoNnk,17.680,18.080,it's
Sqr0AcuoNnk,18.080,18.300,so
Sqr0AcuoNnk,18.300,18.680,weird.
Sqr0AcuoNnk,19.020,19.180,I
Sqr0AcuoNnk,19.180,19.820,-
Sqr0AcuoNnk,19.820,19.900,there
Sqr0AcuoNnk,19.900,20.040,were
Sqr0AcuoNnk,20.040,20.240,times
Sqr0AcuoNnk,20.240,20.480,in
Sqr0AcuoNnk,20.480,20.540,the
Sqr0AcuoNnk,20.540,20.680,movie
Sqr0AcuoNnk,20.680,20.900,where
Sqr0AcuoNnk,20.900,21.000,I
